lift_key,name,score_type,input_mode,equipment,primary_muscles,secondary_muscles,video_url,lift_info,needs_review,source_name
air_squat,Air Squat,bodyweight,standard,bodyweight,quads,glutes,,,,Air Squat
arnold_press,Arnold Press,multiplier,standard,barbell,shoulders,triceps,,,,Arnold Press
assisted_chin_up,Assisted Chin-Up,bodyweight,standard,pull-up bar,back,biceps,,,,Assisted Chin-Up
assisted_dip,Assisted Dip,bodyweight,standard,machine,chest,triceps,,,,Assisted Dip
assisted_pull_up,Assisted Pull-Up,bodyweight,standard,pull-up bar,back,biceps,,,,Assisted Pull-Up
back_extension,Back Extension,multiplier,standard,machine,back,hamstrings,,,,Back Extension
banded_face_pull,Banded Face Pull,multiplier,standard,band,traps,shoulders,,,,Banded Face Pull
banded_hip_march,Banded Hip March,multiplier,standard,band,hamstrings,,,,,Banded Hip March
banded_muscle_up,Banded Muscle-Up,multiplier,standard,band,back,,,,,Banded Muscle-Up
banded_side_kicks,Banded Side Kicks,multiplier,standard,band,glutes,,,,,Banded Side Kicks
band_external_shoulder_rotation,Band External Shoulder Rotation,multiplier,standard,band,shoulders,,,,,Band External Shoulder Rotation
band_internal_shoulder_rotation,Band Internal Shoulder Rotation,multiplier,standard,band,shoulders,,,,,Band Internal Shoulder Rotation
band_pull_apart,Band Pull-Apart,multiplier,standard,band,shoulders,,,,,Band Pull-Apart
band_assisted_bench_press,Band-Assisted Bench Press,multiplier,standard,band,chest,,,,,Band-Assisted Bench Press
bar_dip,Bar Dip,bodyweight,standard,machine,chest,triceps,,,,Bar Dip
bar_hang,Bar Hang,bodyweight,standard,bodyweight,forearms,,,,,Bar Hang
barbell_curl,Barbell Curl,multiplier,standard,barbell,biceps,,,,,Barbell Curl
barbell_front_raise,Barbell Front Raise,multiplier,standard,barbell,shoulders,,,,,Barbell Front Raise
barbell_hack_squat,Barbell Hack Squat,multiplier,standard,barbell,quads,glutes,,,,Barbell Hack Squat
barbell_lunge,Barbell Lunge,multiplier,standard,barbell,quads,glutes,,,,Barbell Lunge
barbell_preacher_curl,Barbell Preacher Curl,multiplier,standard,barbell,biceps,,,,,Barbell Preacher Curl
barbell_rear_delt_row,Barbell Rear Delt Row,multiplier,standard,barbell,shoulders,,,,,Barbell Rear Delt Row
